id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
43;Cuidado personal;Desodorante en aerosol;Dove Original;Envase 100 grs.;676;169,9;196,8;236;237,685;287;301;15,99138215;11;239,481;-0,007;0,0673
44;Cuidado personal;Desodorante en aerosol;Rexona Active Emotion;Envase 105 grs.;576;152;175,2;209;209,112;245;257;13,735109;6;209,095;0;0,0657
45;Limpieza del hogar;Detergente para vajilla;Deterjane limón;Envase 1.250 lt.;392;69,9;119;144;148,105;179;180;19,40508451;26;145,182;0,02;0,131
46;Limpieza del hogar;Detergente para vajilla;Hurra Nevex Limón;Envase 1.250 lt.;570;102;104;140;140,929;174,94;174,94;13,72034266;13,1;137,115;0,028;0,0974
47;Limpieza del hogar;Detergente para vajilla;Protergente limón;Envase 1 lt.;395;50;59,234;69;71,741;90;90;6,969655551;4;72,861;-0,015;0,0972
48;Alimentos y bebidas;Dulce de leche;Conaprole;Envase 1 kg.;430;205;235;272;273,641;320;336;18,72267767;20;272,006;0,006;0,0684
49;Alimentos y bebidas;Dulce de leche;Los Nietitos;Envase 1 kg.;457;84,9;165;225;221,794;262;274;17,761904;13;214,288;0,035;0,0801
50;Alimentos y bebidas;Dulce de leche;Manjar;Envase 1 kg.;458;149;179;195;198,806;235;240;10,28352571;6;199,004;-0,001;0,0517
51;Alimentos y bebidas;Dulce de membrillo;Los Nietitos;Envase 400 grs.;408;56;59;76;74,608;85;92;5,534210845;3,7;72,96;0,023;0,0742
52;Alimentos y bebidas;Fideos secos al huevo;Adria;Paquete 500 grs.;392;71;81;91;90,717;101;106;3,408068097;3;87,473;0,037;0,0376
53;Alimentos y bebidas;Fideos secos al huevo;Cololó;Paquete 500 grs.;380;49;63;74,9;74,464;85;89;4,625752776;5;75,553;-0,014;0,0621
54;Alimentos y bebidas;Fideos secos al huevo;Las Acacias;Paquete 500 grs.;453;46;64;86;84,835;95;101;6,219383781;5;83,688;0,014;0,0733
55;Alimentos y bebidas;Fideos secos semolados;Adria;Paquete 500 grs.;227;40,9;44,99;66;63,262;81;99;7,848067705;6;63,272;0;0,1241
56;Alimentos y bebidas;Fideos secos semolados;Las Acacias - franja celeste;Paquete 500 grs.;176;42;45;63;60,073;72;72;6,031332101;12,9;59,926;0,002;0,1004
58;Alimentos y bebidas;Frankfurters cortos;Centenario;Paquete 8 us.;150;130;130;199;204,235;290;300;25,80115492;24,5;198,892;0,027;0,1263
59;Alimentos y bebidas;Frankfurters cortos;Ottonello;Paquete 8 us.;382;99;149;184;184,392;218;228,5;9,337414248;10;184,029;0,002;0,0506
60;Alimentos y bebidas;Frankfurters cortos;Schneck;Paquete 8 us.;444;199;217;265;265,964;305;305;20,28062047;22;260,169;0,022;0,0763
61;Alimentos y bebidas;Galletitas al agua;Famosa;Paquete 140 grs.;543;29,9;49;75;75,71;86;92;7,820230641;11;71,017;0,066;0,1033
62;Alimentos y bebidas;Galletitas al agua;Maestro Cubano;Paquete 120 grs.;82;20;20;40;40,889;47;47;3,004734525;1;40,889;0;0,0735
63;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Coca Cola;Botella 1,5 lt.;590;115;125;142;145,998;157;160;8,278008861;15;145,863;0,001;0,0567
64;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Coca Cola_;Botella 2,25.lt.;445;99;143;180;186,052;201;209;13,45981006;19;186,264;-0,001;0,0723
65;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Nix;Botella 1,5 lt.;15;30;30;39;37,527;47;47;4,467378801;7;37,527;0;0,119
66;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 2 lt.;433;89;142;153;159,563;177;195;12,10997006;23;166,17;-0,04;0,0759
67;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 1,5 lt.;449;84,06;106;129;129,787;150;150;7,506374056;0;129,717;0,001;0,0578
68;Alimentos y bebidas;Hamburguesas carne vacun;Burgy;Paquete 3 unidades;381;30;30;37;36,344;45;46;3,441001676;3;36,51;-0,005;0,0947
69;Alimentos y bebidas;Hamburguesas carne vacun;Paty;Paquete 2 unidades;169;48;48;89;75,385;114;114;18,46019549;33,9;74,871;0,007;0,2449
70;Alimentos y bebidas;Hamburguesas carne vacun;Schneck;Paquete 2 unidades;435;73;75,9;98;96,128;107;110;6,865372631;9;93,405;0,029;0,0714
71;Alimentos y bebidas;Harina de maíz;Gourmet;Paquete 450 grs.;100;29;29,67;35;33,968;36;36;1,724978097;2;33,941;0,001;0,0508
72;Alimentos y bebidas;Harina de maíz;Presto Pronta Arcor;Paquete 500 grs.;352;39;48;58;56,82;68,35;74;4,508481584;5;56,073;0,013;0,0793
73;Alimentos y bebidas;Harina de maíz;Puritas;Paquete 450 grs.;428;29,9;32,9;41;42,242;59;59;3,972317327;6;40,861;0,034;0,094
74;Alimentos y bebidas;Harina trigo común 000;Cañuelas;Paquete 1 kg.;497;30;45;56;56,722;68;70;4,92491166;9;56,029;0,012;0,0868
75;Alimentos y bebidas;Harina trigo común 000;Cololó;Paquete 1 kg.;142;29;44;49,9;48,182;62;62;4,088996731;4,9;48,182;0;0,0849
76;Alimentos y bebidas;Harina trigo común 0000;Cañuelas;Paquete 1 kg.;519;49;49;64;62,988;72;75;3,539482382;3;61,365;0,026;0,0562
77;Alimentos y bebidas;Harina trigo común 0000;Cololó;Paquete 1 kg.;339;39;45;59;59,344;70;76;8,320762363;12,48;61,017;-0,027;0,1402
78;Alimentos y bebidas;Harina trigo común 0000;Primor;Paquete 1 kg.;184;48;49;57;58,639;69;69;4,018374586;3;58,579;0,001;0,0685
79;Alimentos y bebidas;Helado familiar;Conaprole;Envase 1lt.;449;224;234;275;275,869;313;337;15,88580683;4,9;277,556;-0,006;0,0576
80;Alimentos y bebidas;Helado familiar;Crufi;Envase 1lt.;301;228;229;289;281,699;341;358;26,01521834;40;284,977;-0,012;0,0924
82;Limpieza del hogar;Hipoclorito de sodio;Agua Jane;Botella 1 lt.;602;68;68;84;85,111;109;115;7,530337197;10;85,185;-0,001;0,0885
83;Limpieza del hogar;Hipoclorito de sodio;Sello Rojo;Botella 1 lt.;597;63;65;78;77,75;100;101;7,180026581;10;76,018;0,023;0,0923
84;Limpieza del hogar;Hipoclorito de sodio;Solución Cristal;Botella 1 lt.;440;39;39,9;77;73,936;85;91;7,862807175;13;74,272;-0,005;0,1063
85;Alimentos y bebidas;Huevos colorados;El Jefe;Envase 1/2 docena;104;99;99;113;115,019;131;131;6,204332195;3;114,97;0;0,0539
86;Alimentos y bebidas;Huevos colorados;Prodhin;Envase 1/2 docena;312;99;105;121;120,382;135;135;7,619130088;3;120,228;0,001;0,0633
