id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.
142;Sal fina yodada fluorada;Urusal;Paquete 500 grs.;209;40;40;54;52,15;66;69;4,911786605;6;52,21;-0,001209;0,094191883
335;Talco;Xanapie;180 grs.;254;84;88;106;105,39;113;131,5;5,167693642;1;105,27;0,001166;0,049031853
336;Talco;Xanapie;175 ml.;191;115;119;207;199,71;229;249;26,09580999;13;200,67;-0,004771;0,130669062
337;Talco;J&J;200 grs.;490;295;320;390;391,55;444,586;467;28,32598789;29;390,27;0,003274;0,072343934
143;Té negro en saquitos;Hornimans;Caja 10 us.;350;38;38;48;47,27;61;64;4,752225623;5;47,01;0,005604;0,10052478
144;Té negro en saquitos;La Virginia;Caja 10 us.;268;30;31;38;36,71;45;46,48;3,206678133;6;36,52;0,005378;0,087341894
145;Té negro en saquitos;President;Caja 10 us.;265;44;59;65;65,06;79;83;4,417438996;4;65,11;-0,00081;0,067896241
342;Tinta;Excellence;1 unidad;361;445;568;727;694,30;779;825;57,24776068;42;686,36;0,01157;0,08245433
343;Tinta;Issue;1 unidad;210;125;129;189;177,56;189;206;20,29690564;14;168,50;0,053818;0,114307978
344;Tinta;Garnier;1 unidad;495;209,9;249;299;302,15;389;429;25,30046646;18;291,28;0,037311;0,083735306
332;Toallitas femeninas;Ladysoft;16 unidades;475;112;119;136;141,09;189;191;17,39766772;12;140,33;0,005416;0,123310807
333;Toallitas femeninas;Siempre Libre;8 unidades;322;97;99;137;136,17;159,07;161,11;9,604937916;8;136,70;-0,003876;0,070536685
253;Tomate Americano;NA;1 kg.;141;98;99;189;179,78;219;242;26,65351197;25;123,99;0,44997;0,148253469
254;Tomate Perita;NA;1 kg.;139;98;104;199;188,28;220;249;25,0310471;24,07;153,30;0,228242;0,132942964
146;Vino tinto común tetrabrick;Faisán;Envase 1 lt.;321;109;109;130;129,93;142;149;5,832593431;9;129,93;0,000023;0,044888661
147;Vino tinto común tetrabrick;Santa Teresa Clásico;Envase 1 lt.;355;115;115;144;142,00;155;160;7,667707602;10;141,08;0,006548;0,05399669
148;Vino tinto común tetrabrick;Tango;Envase 1 lt.;127;98;98;109;109,69;129;129;4,907855475;8;109,44;0,002283;0,044741003
149;Yerba mate común;Baldo;Paquete1 kg.;506;170;183;187;188,02;240,83;240,83;8,988845906;2;187,89;0,000665;0,047807953
150;Yerba mate común;Canarias;Paquete1 kg.;496;174;179;190;194,52;260;260;18,46350123;2;194,13;0,002003;0,094917413
151;Yerba mate común;Del Cebador;Paquete1 kg.;325;139,9;146,9;175;173,87;212;212;12,88403148;14;171,46;0,014041;0,074103281
152;Yogur;Calcar;Sachet 1 lt.;189;69;74,9;89,9;89,23;101;101;6,55882093;3,5;89,38;-0,001625;0,073503334
153;Yogur;Conaprole BIO TOP;Sachet1,200 lt.;305;69;76;92;91,00;106;111;9,728168501;13,1;90,68;0,003554;0,106901313
154;Yogur;Parmalat Bio Yogur;Sachet 1 lt.;138;68;69;93;92,74;103;108;7,49020601;8,1;92,38;0,003858;0,080767183
262;Zapallo Calabacín;NA;1 kg.;34;45;45;49,9;55,97;82;82;11,87106111;15,9;60,53;-0,075452;0,212109457
264;Zapallo Criollo;NA;1 kg.;39;40;40;69;63,77;80;80;12,36115322;24;63,75;0,000243;0,193852658
